Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.08,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetLeastLikely,0.545480386583
0.08,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMostLikely,0.954803865833
0.08,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMaxTreatment,1.0
0.08,0.12,0.05,0.05,0,PerfectClassifier,0.973052424225,0.978371687217,0.975712055721,TargetLeastLikely,0.527057052752
0.08,0.12,0.05,0.05,0,PerfectClassifier,0.973052424225,0.978371687217,0.975712055721,TargetMostLikely,0.920638618119
0.08,0.12,0.05,0.05,0,PerfectClassifier,0.973052424225,0.978371687217,0.975712055721,TargetMaxTreatment,0.947437419366
0.08,0.12,0.1,0.1,0,PerfectClassifier,0.947943542042,0.954044673684,0.950994107863,TargetLeastLikely,0.515634687854
0.08,0.12,0.1,0.1,0,PerfectClassifier,0.947943542042,0.954044673684,0.950994107863,TargetMostLikely,0.889249227569
0.08,0.12,0.1,0.1,0,PerfectClassifier,0.947943542042,0.954044673684,0.950994107863,TargetMaxTreatment,0.904646755262
0.08,0.12,0.15,0.15,0,PerfectClassifier,0.927914632515,0.920468295488,0.924191464001,TargetLeastLikely,0.50511372908
0.08,0.12,0.15,0.15,0,PerfectClassifier,0.927914632515,0.920468295488,0.924191464001,TargetMostLikely,0.869258809142
0.08,0.12,0.15,0.15,0,PerfectClassifier,0.927914632515,0.920468295488,0.924191464001,TargetMaxTreatment,0.87415061767
0.08,0.12,0.2,0.2,0,PerfectClassifier,0.903211552188,0.899303177889,0.901257365038,TargetLeastLikely,0.49450080436
0.08,0.12,0.2,0.2,0,PerfectClassifier,0.903211552188,0.899303177889,0.901257365038,TargetMostLikely,0.845956860041
0.08,0.12,0.2,0.2,0,PerfectClassifier,0.903211552188,0.899303177889,0.901257365038,TargetMaxTreatment,0.840252470534
0.08,0.12,0.25,0.25,0,PerfectClassifier,0.863295306255,0.878968014079,0.871131660167,TargetLeastLikely,0.494849445419
